;;;Septiembre 2021;;;Oct-21;;;Nov-21;;
243;0.797102624;1090100356620;Si;No;Si;Si;No;Si;Si;No;Si
244;0.797102624;1090100356778;Si;No;Si;Si;No;Si;Si;No;Si
245;0.797102624;1090100357731;Si;No;Si;Si;No;Si;Si;No;Si
246;0.797102624;1090100358681;Si;No;Si;Si;No;Si;Si;No;Si
247;0.797102624;1090100359998;Si;No;Si;Si;No;Si;No;No;No
248;0.797102624;1090100360627;Si;No;Si;Si;No;Si;Si;No;Si
249;0.797102624;1090100361925;Si;No;Si;Si;No;Si;Si;No;Si
1;0.797102624;1090100000582;Si;No;Si;No;No;No;No;No;No
220;0.797102624;1090100320480;Si;No;Si;Si;No;Si;Si;No;Si
219;0.797102624;1090100318477;Si;No;Si;Si;No;Si;Si;No;Si
218;0.797102624;1090100317268;Si;No;Si;Si;No;Si;Si;No;Si
202;0.797102624;1090100288047;Si;No;Si;No;Si;Si;No;Si;Si
189;0.797102624;1090100268925;No;No;No;No;No;No;No;No;No
190;0.797102624;1090100268941;Si;No;Si;Si;No;Si;Si;No;Si
191;0.797102624;1090100270849;Si;No;Si;Si;No;Si;Si;No;Si
192;0.797102624;1090100272264;No;No;No;No;No;No;No;No;No
193;0.797102624;1090100274224;Si;No;Si;Si;No;Si;Si;No;Si
194;0.797102624;1090100274364;Si;No;Si;Si;No;Si;Si;No;Si
196;0.797102624;1090100275638;Si;No;Si;Si;No;Si;Si;No;Si
197;0.797102624;1090100276880;Si;No;Si;Si;No;Si;Si;No;Si
198;0.797102624;1090100284238;Si;No;Si;Si;No;Si;Si;No;Si
199;0.797102624;1090100284963;Si;No;Si;Si;No;Si;Si;No;Si
200;0.797102624;1090100285137;Si;No;Si;Si;No;Si;Si;No;Si
201;0.797102624;1090100287806;Si;No;Si;Si;No;Si;Si;No;Si
203;0.797102624;1090100293229;Si;No;Si;Si;No;Si;Si;No;Si
217;0.797102624;1090100313688;Si;No;Si;No;No;No;No;No;No
204;0.797102624;1090100293237;Si;No;Si;Si;No;Si;Si;No;Si
205;0.797102624;1090100293741;No;No;No;No;No;No;No;No;No
206;0.797102624;1090100293768;Si;No;Si;Si;No;Si;Si;No;Si
207;0.797102624;1090100296538;Si;No;Si;Si;No;Si;Si;No;Si
208;0.797102624;1090100296864;Si;No;Si;Si;No;Si;Si;No;Si
209;0.797102624;1090100297500;Si;No;Si;Si;No;Si;Si;No;Si
210;0.797102624;1090100300438;Si;No;Si;Si;No;Si;Si;No;Si
212;0.797102624;1090100303852;No;No;No;No;No;No;No;No;No
213;0.797102624;1090100305049;Si;No;Si;Si;No;Si;Si;No;Si
214;0.797102624;1090100309711;Si;No;Si;Si;No;Si;Si;No;Si
215;0.797102624;1090100311049;Si;No;Si;Si;No;Si;Si;No;Si
216;0.797102624;1090100311251;Si;No;Si;Si;No;Si;Si;No;Si
123;0.797102624;1090100164216;Si;No;Si;Si;No;Si;Si;No;Si
228;0.797102624;1090100333395;Si;No;Si;Si;No;Si;Si;No;Si
26;0.797102624;1090100037206;Si;No;Si;Si;No;Si;Si;No;Si
45;0.797102624;1090100050199;Si;No;Si;Si;No;Si;Si;No;Si
33;0.797102624;1090100041041;Si;No;Si;Si;No;Si;Si;No;Si
34;0.797102624;1090100041602;Si;No;Si;Si;No;Si;Si;No;Si
35;0.797102624;1090100041645;Si;No;Si;Si;No;Si;Si;No;Si
36;0.797102624;1090100043346;No;No;No;No;No;No;No;No;No
37;0.797102624;1090100043516;Si;No;Si;Si;No;Si;Si;No;Si
38;0.797102624;1090100043923;Si;No;Si;Si;No;Si;Si;No;Si
39;0.797102624;1090100044407;Si;No;Si;Si;No;Si;Si;No;Si
40;0.797102624;1090100045012;Si;No;Si;Si;No;Si;Si;No;Si
41;0.797102624;1090100045276;Si;No;Si;Si;No;Si;Si;No;Si
42;0.797102624;1090100047708;Si;No;Si;Si;No;Si;Si;No;Si
43;0.797102624;1090100048046;Si;No;Si;Si;No;Si;Si;No;Si
44;0.797102624;1090100048160;Si;No;Si;Si;No;Si;Si;No;Si
46;0.797102624;1090100050377;Si;No;Si;Si;No;Si;Si;No;Si
31;0.797102624;1090100040487;Si;No;Si;Si;No;Si;Si;No;Si
49;0.797102624;1090100055913;Si;No;Si;Si;No;Si;Si;No;Si
50;0.797102624;1090100056618;Si;No;Si;Si;No;Si;No;No;No
51;0.797102624;1090100058548;Si;No;Si;Si;No;Si;Si;No;Si
52;0.797102624;1090100061174;Si;No;Si;Si;No;Si;Si;No;Si
54;0.797102624;1090100062111;No;No;No;No;No;No;No;No;No
55;0.797102624;1090100067661;Si;No;Si;Si;No;Si;Si;No;Si
56;0.797102624;1090100067881;Si;No;Si;Si;No;Si;Si;No;Si
57;0.797102624;1090100069698;Si;No;Si;Si;No;Si;Si;No;Si
58;0.797102624;1090100070980;Si;No;Si;Si;No;Si;Si;No;Si
59;0.797102624;1090100072036;Si;No;Si;No;No;No;No;No;No
61;0.797102624;1090100074713;Si;No;Si;Si;No;Si;Si;No;Si
62;0.797102624;1090100077186;Si;No;Si;Si;No;Si;Si;No;Si
32;0.797102624;1090100040983;Si;No;Si;Si;No;Si;Si;No;Si
30;0.797102624;1090100040282;Si;No;Si;Si;No;Si;Si;No;Si
64;0.797102624;1090100084034;Si;No;Si;Si;No;Si;Si;No;Si
13;0.797102624;1090100020044;Si;No;Si;Si;No;Si;Si;No;Si
120;0.797102624;1090100153923;Si;No;Si;Si;No;Si;Si;No;Si
2;0.797102624;1090100002470;Si;No;Si;Si;No;Si;Si;No;Si
3;0.797102624;1090100003778;Si;No;Si;Si;No;Si;Si;No;Si
4;0.797102624;1090100010812;Si;No;Si;Si;No;Si;Si;No;Si
5;0.797102624;1090100011401;Si;No;Si;Si;No;Si;Si;No;Si
6;0.797102624;1090100016136;No;No;No;No;No;No;No;No;No
7;0.797102624;1090100016152;Si;No;Si;Si;No;Si;Si;No;Si
8;0.797102624;1090100017043;Si;No;Si;Si;No;Si;Si;No;Si
9;0.797102624;1090100017281;Si;No;Si;Si;No;Si;Si;No;Si
10;0.797102624;1090100017345;Si;No;Si;Si;No;Si;Si;No;Si
11;0.797102624;1090100018597;Si;No;Si;No;Si;Si;No;Si;Si
12;0.797102624;1090100018791;Si;No;Si;Si;No;Si;Si;No;Si
14;0.797102624;1090100023183;Si;No;Si;Si;No;Si;Si;No;Si
29;0.797102624;1090100039691;Si;No;Si;No;No;No;No;No;No
15;0.797102624;1090100023566;Si;No;Si;Si;No;Si;Si;No;Si
16;0.797102624;1090100023949;No;Si;Si;No;Si;Si;No;Si;Si
17;0.797102624;1090100025003;Si;No;Si;Si;No;Si;Si;No;Si
18;0.797102624;1090100026166;Si;No;Si;Si;No;Si;Si;No;Si
19;0.797102624;1090100026816;Si;No;Si;Si;No;Si;Si;No;Si
20;0.797102624;1090100028550;No;Si;Si;No;Si;Si;No;Si;Si
21;0.797102624;1090100029122;Si;No;Si;Si;No;Si;Si;No;Si
22;0.797102624;1090100031739;Si;No;Si;Si;No;Si;Si;No;Si
23;0.797102624;1090100035556;Si;No;Si;Si;No;Si;Si;No;Si
24;0.797102624;1090100036676;Si;No;Si;Si;No;Si;Si;No;Si
27;0.797102624;1090100037478;Si;No;Si;Si;No;Si;Si;No;Si
28;0.797102624;1090100037907;Si;No;Si;Si;No;Si;Si;No;Si
63;0.797102624;1090100080373;Si;No;Si;Si;No;Si;Si;No;Si
48;0.797102624;1090100053724;Si;No;Si;Si;No;Si;Si;No;Si
65;0.797102624;1090100084433;Si;No;Si;Si;No;Si;Si;No;Si
88;0.797102624;1090100114383;Si;No;Si;Si;No;Si;Si;No;Si
90;0.797102624;1090100114782;Si;No;Si;Si;No;Si;Si;No;Si
91;0.797102624;1090100115738;Si;No;Si;Si;No;Si;Si;No;Si
92;0.797102624;1090100116084;Si;No;Si;Si;No;Si;Si;No;Si
93;0.797102624;1090100116483;Si;No;Si;Si;No;Si;Si;No;Si
94;0.797102624;1090100116700;Si;No;Si;Si;No;Si;Si;No;Si
95;0.797102624;1090100116939;Si;No;Si;Si;No;Si;Si;No;Si
96;0.797102624;1090100116955;Si;No;Si;Si;No;Si;Si;No;Si
97;0.797102624;1090100117030;Si;No;Si;Si;No;Si;Si;No;Si
98;0.797102624;1090100117692;Si;No;Si;Si;No;Si;Si;No;Si
99;0.797102624;1090100119261;Si;No;Si;Si;No;Si;Si;No;Si
66;0.797102624;1090100086274;Si;No;Si;Si;No;Si;Si;No;Si
101;0.797102624;1090100120383;Si;No;Si;Si;No;Si;Si;No;Si
102;0.797102624;1090100122751;Si;No;Si;Si;No;Si;Si;No;Si
103;0.797102624;1090100123846;Si;No;Si;Si;No;Si;Si;No;Si
104;0.797102624;1090100124036;Si;No;Si;Si;No;Si;Si;No;Si
105;0.797102624;1090100124354;Si;No;Si;Si;No;Si;Si;No;Si
106;0.797102624;1090100125059;Si;No;Si;Si;No;Si;Si;No;Si
107;0.797102624;1090100128368;Si;No;Si;No;Si;Si;No;Si;Si
108;0.797102624;1090100128881;Si;No;Si;Si;No;Si;Si;No;Si
109;0.797102624;1090100130516;Si;No;Si;Si;No;Si;Si;No;Si
110;0.797102624;1090100131652;Si;No;Si;Si;No;Si;Si;No;Si
111;0.797102624;1090100133761;Si;No;Si;Si;No;Si;Si;No;Si
113;0.797102624;1090100139751;Si;No;Si;Si;No;Si;Si;No;Si
114;0.797102624;1090100140457;Si;No;Si;Si;No;Si;Si;No;Si
115;0.797102624;1090100141151;Si;No;Si;Si;No;Si;Si;No;Si
116;0.797102624;1090100143316;Si;No;Si;Si;No;Si;Si;No;Si
117;0.797102624;1090100143880;No;No;No;No;No;No;No;No;No
118;0.797102624;1090100147982;Si;No;Si;Si;No;Si;Si;No;Si
119;0.797102624;1090100151947;Si;No;Si;Si;No;Si;Si;No;Si
89;0.797102624;1090100114596;Si;No;Si;Si;No;Si;Si;No;Si
100;0.797102624;1090100119482;Si;No;Si;Si;No;Si;Si;No;Si
69;0.797102624;1090100089656;Si;No;Si;Si;No;Si;Si;No;Si
79;0.797102624;1090100101974;Si;No;Si;Si;No;Si;Si;No;Si
68;0.797102624;1090100089401;Si;No;Si;Si;No;Si;Si;No;Si
86;0.797102624;1090100113921;Si;No;Si;Si;No;Si;Si;No;Si
70;0.797102624;1090100089966;Si;No;Si;Si;No;Si;Si;No;Si
71;0.797102624;1090100090824;Si;No;Si;Si;No;Si;Si;No;Si
72;0.797102624;1090100091413;Si;No;Si;Si;No;Si;Si;No;Si
73;0.797102624;1090100093157;Si;No;Si;Si;No;Si;Si;No;Si
75;0.797102624;1090100095541;No;Si;Si;No;Si;Si;No;Si;Si
77;0.797102624;1090100098698;Si;No;Si;Si;No;Si;Si;No;Si
78;0.797102624;1090100101508;Si;No;Si;Si;No;Si;Si;No;Si
67;0.797102624;1090100087548;Si;No;Si;Si;No;Si;Si;No;Si
80;0.797102624;1090100103209;Si;No;Si;Si;No;Si;Si;No;Si
81;0.797102624;1090100106879;Si;No;Si;Si;No;Si;Si;No;Si
84;0.797102624;1090100112801;Si;No;Si;Si;No;Si;Si;No;Si
83;0.797102624;1090100112399;Si;No;Si;Si;No;Si;Si;No;Si
373;0.794751066;1090100595543;Si;No;Si;Si;No;Si;Si;No;Si
355;0.794751066;1090100568571;Si;No;Si;Si;No;Si;Si;No;Si
356;0.794751066;1090100570231;Si;No;Si;Si;No;Si;Si;No;Si
357;0.794751066;1090100570401;Si;No;Si;Si;No;Si;Si;No;Si
358;0.794751066;1090100570583;No;No;No;No;No;No;No;No;No
376;0.794751066;1090100611514;Si;No;Si;Si;No;Si;Si;No;Si
375;0.794751066;1090100610399;Si;No;Si;Si;No;Si;Si;No;Si
359;0.794751066;1090100571938;Si;No;Si;Si;No;Si;Si;No;Si
360;0.794751066;1090100572381;Si;No;Si;Si;No;Si;Si;No;Si
361;0.794751066;1090100573264;Si;No;Si;Si;No;Si;Si;No;Si
367;0.794751066;1090100584738;Si;No;Si;Si;No;Si;No;No;No
372;0.794751066;1090100595179;Si;No;Si;Si;No;Si;Si;No;Si
362;0.794751066;1090100576191;Si;No;Si;Si;No;Si;Si;No;Si
363;0.794751066;1090100576701;Si;No;Si;Si;No;Si;Si;No;Si
364;0.794751066;1090100577294;Si;No;Si;Si;No;Si;Si;No;Si
353;0.794751066;1090100565440;Si;No;Si;Si;No;Si;Si;No;Si
337;0.794751066;1090100517224;No;No;No;No;No;No;Si;No;Si
365;0.794751066;1090100581178;Si;No;Si;No;No;No;No;No;No
366;0.794751066;1090100582239;Si;No;Si;Si;No;Si;Si;No;Si
371;0.794751066;1090100592412;Si;No;Si;Si;No;Si;Si;No;Si
369;0.794751066;1090100588661;Si;No;Si;Si;No;Si;No;No;No
354;0.794751066;1090100566608;Si;No;Si;Si;No;Si;Si;No;Si
331;0.794751066;1090100510190;Si;No;Si;Si;No;Si;Si;No;Si
352;0.794751066;1090100562351;Si;No;Si;Si;No;Si;Si;No;Si
351;0.794751066;1090100552607;Si;No;Si;Si;No;Si;Si;No;Si
343;0.794751066;1090100528196;Si;No;Si;Si;No;Si;Si;No;Si
332;0.794751066;1090100511315;Si;No;Si;Si;No;Si;Si;No;Si
344;0.794751066;1090100528722;Si;No;Si;Si;No;Si;Si;No;Si
333;0.794751066;1090100511650;Si;No;Si;Si;No;Si;Si;No;Si
345;0.794751066;1090100530638;Si;No;Si;Si;No;Si;Si;No;Si
346;0.794751066;1090100534919;Si;No;Si;Si;No;Si;Si;No;Si
347;0.794751066;1090100536784;Si;No;Si;Si;No;Si;Si;No;Si
342;0.794751066;1090100525871;Si;No;Si;Si;No;Si;Si;No;Si
378;0.794751066;1090100614467;Si;No;Si;Si;No;Si;Si;No;Si
334;0.794751066;1090100511919;Si;No;Si;No;Si;Si;No;Si;Si
335;0.794751066;1090100512613;Si;No;Si;Si;No;Si;Si;No;Si
336;0.794751066;1090100514055;Si;No;Si;Si;No;Si;Si;No;Si
476;0.794751066;1090100784885;Si;No;Si;Si;No;Si;Si;No;Si
340;0.794751066;1090100524549;Si;No;Si;Si;No;Si;Si;No;Si
348;0.794751066;1090100540102;Si;No;Si;Si;No;Si;Si;No;Si
330;0.794751066;1090100508608;Si;No;Si;Si;No;Si;Si;No;Si
329;0.794751066;1090100507954;Si;No;Si;Si;No;Si;Si;No;Si
339;0.794751066;1090100521124;Si;No;Si;Si;No;Si;Si;No;Si
338;0.794751066;1090100517534;No;No;No;No;No;No;No;No;No
475;0.794751066;1090100784389;Si;No;Si;Si;No;Si;Si;No;Si
350;0.794751066;1090100552178;Si;No;Si;Si;No;Si;Si;No;Si
377;0.794751066;1090100611794;Si;No;Si;Si;No;Si;Si;No;Si
289;0.794751066;1090100416681;Si;No;Si;No;No;No;No;No;No
379;0.794751066;1090100615111;Si;No;Si;Si;No;Si;Si;No;Si
380;0.794751066;1090100618527;Si;No;Si;Si;No;Si;Si;No;Si
436;0.794751066;1090100712078;Si;No;Si;Si;No;Si;Si;No;Si
437;0.794751066;1090100715000;Si;No;Si;Si;No;Si;Si;No;Si
438;0.794751066;1090100715778;Si;No;Si;Si;No;Si;Si;No;Si
439;0.794751066;1090100718751;Si;No;Si;Si;No;Si;Si;No;Si
327;0.794751066;1090100505994;No;Si;Si;No;Si;Si;No;Si;Si
440;0.794751066;1090100719757;Si;No;Si;No;No;No;No;No;No
441;0.794751066;1090100719781;Si;No;Si;Si;No;Si;Si;No;Si
442;0.794751066;1090100720054;Si;No;Si;Si;No;Si;Si;No;Si
443;0.794751066;1090100725358;No;Si;Si;No;Si;Si;No;Si;Si
463;0.794751066;1090100762270;Si;No;Si;Si;No;Si;Si;No;Si
445;0.794751066;1090100726443;Si;No;Si;Si;No;Si;Si;No;Si
446;0.794751066;1090100727237;Si;No;Si;Si;No;Si;Si;No;Si
447;0.794751066;1090100728268;Si;No;Si;Si;No;Si;Si;No;Si
461;0.794751066;1090100754625;Si;No;Si;No;No;No;No;No;No
449;0.794751066;1090100730416;Si;No;Si;Si;No;Si;Si;No;Si
460;0.794751066;1090100752983;Si;No;Si;Si;No;Si;Si;No;Si
459;0.794751066;1090100746134;Si;No;Si;No;No;No;No;Si;Si
452;0.794751066;1090100735612;Si;No;Si;Si;No;Si;Si;No;Si
453;0.794751066;1090100737470;No;No;No;No;No;No;No;No;No
454;0.794751066;1090100737569;Si;No;Si;Si;No;Si;Si;No;Si
458;0.794751066;1090100744824;Si;No;Si;Si;No;Si;Si;No;Si
435;0.794751066;1090100711772;Si;No;Si;Si;No;Si;Si;No;Si
434;0.794751066;1090100711578;Si;No;Si;Si;No;Si;Si;No;Si
433;0.794751066;1090100711322;No;No;No;No;No;No;No;No;No
466;0.794751066;1090100768341;Si;No;Si;Si;No;Si;Si;No;Si
381;0.794751066;1090100619621;Si;No;Si;Si;No;Si;Si;No;Si
382;0.794751066;1090100620645;No;No;No;No;No;No;No;No;No
383;0.794751066;1090100623032;Si;No;Si;Si;No;Si;Si;No;Si
474;0.794751066;1090100784273;Si;No;Si;Si;No;Si;Si;No;Si
473;0.794751066;1090100779733;Si;No;Si;Si;No;Si;Si;No;Si
472;0.794751066;1090100779032;Si;No;Si;Si;No;Si;Si;No;Si
471;0.794751066;1090100776378;Si;No;Si;Si;No;Si;Si;No;Si
469;0.794751066;1090100774146;Si;No;Si;Si;No;Si;Si;No;Si
467;0.794751066;1090100772682;Si;No;Si;Si;No;Si;Si;No;Si
422;0.794751066;1090100691810;Si;No;Si;Si;No;Si;Si;No;Si
432;0.794751066;1090100709883;Si;No;Si;Si;No;Si;Si;No;Si
423;0.794751066;1090100692093;Si;No;Si;Si;No;Si;Si;No;Si
465;0.794751066;1090100766925;Si;No;Si;No;No;No;No;No;No
425;0.794751066;1090100699071;Si;No;Si;Si;No;Si;Si;No;Si
426;0.794751066;1090100699233;Si;No;Si;Si;No;Si;Si;No;Si
427;0.794751066;1090100699314;Si;No;Si;Si;No;Si;Si;No;Si
428;0.794751066;1090100701173;Si;No;Si;Si;No;Si;Si;No;Si
429;0.794751066;1090100703346;Si;No;Si;Si;No;Si;Si;No;Si
430;0.794751066;1090100705713;Si;No;Si;Si;No;Si;Si;No;Si
464;0.794751066;1090100766551;Si;No;Si;Si;No;Si;Si;No;Si
328;0.794751066;1090100506991;Si;No;Si;Si;No;Si;Si;No;Si
456;0.794751066;1090100742465;Si;No;Si;Si;No;Si;Si;No;Si
326;0.794751066;1090100505315;Si;No;Si;Si;No;Si;Si;No;Si
284;0.794751066;1090100410403;Si;No;Si;Si;No;Si;Si;No;Si
279;0.794751066;1090100401234;Si;No;Si;Si;No;Si;Si;No;Si
280;0.794751066;1090100404667;Si;No;Si;Si;No;Si;Si;No;Si
281;0.794751066;1090100405795;No;Si;Si;No;Si;Si;No;Si;Si
256;0.794751066;1090100368164;Si;No;Si;Si;No;Si;Si;No;Si
282;0.794751066;1090100409162;Si;No;Si;Si;No;Si;Si;No;Si
283;0.794751066;1090100409952;Si;No;Si;Si;No;Si;Si;No;Si
255;0.794751066;1090100368024;Si;No;Si;Si;No;Si;Si;No;Si
253;0.794751066;1090100365882;Si;No;Si;Si;No;Si;Si;No;Si
285;0.794751066;1090100414000;Si;No;Si;Si;No;Si;Si;No;Si
267;0.794751066;1090100380270;Si;No;Si;Si;No;Si;Si;No;Si
286;0.794751066;1090100415537;Si;No;Si;Si;No;Si;Si;No;Si
287;0.794751066;1090100415693;Si;No;Si;Si;No;Si;Si;No;Si
288;0.794751066;1090100416002;Si;No;Si;Si;No;Si;Si;No;Si
290;0.794751066;1090100421022;Si;No;Si;Si;No;Si;No;No;No
278;0.794751066;1090100398012;Si;No;Si;Si;No;Si;Si;No;Si
277;0.794751066;1090100391352;Si;No;Si;Si;No;Si;Si;No;Si
276;0.794751066;1090100388475;Si;No;Si;Si;No;Si;Si;No;Si
275;0.794751066;1090100388351;Si;No;Si;Si;No;Si;Si;No;Si
274;0.794751066;1090100385115;Si;No;Si;Si;No;Si;Si;No;Si
273;0.794751066;1090100383741;Si;No;Si;Si;No;Si;Si;No;Si
257;0.794751066;1090100369462;Si;No;Si;Si;No;Si;Si;No;Si
259;0.794751066;1090100373915;Si;No;Si;Si;No;Si;Si;No;Si
260;0.794751066;1090100375624;Si;No;Si;Si;No;Si;Si;No;Si
261;0.794751066;1090100375896;Si;No;Si;Si;No;Si;Si;No;Si
263;0.794751066;1090100377490;Si;No;Si;Si;No;Si;Si;No;Si
272;0.794751066;1090100382825;Si;No;Si;Si;No;Si;Si;No;Si
271;0.794751066;1090100382485;Si;No;Si;Si;No;Si;Si;No;Si
325;0.794751066;1090100504289;Si;No;Si;Si;No;Si;Si;No;Si
270;0.794751066;1090100382264;Si;No;Si;Si;No;Si;Si;No;Si
269;0.794751066;1090100381764;Si;No;Si;Si;No;Si;Si;No;Si
265;0.794751066;1090100378542;Si;No;Si;Si;No;Si;Si;No;Si
291;0.794751066;1090100422517;Si;No;Si;Si;No;Si;Si;No;Si
254;0.794751066;1090100367338;Si;No;Si;Si;No;Si;Si;No;Si
293;0.794751066;1090100425397;Si;No;Si;Si;No;Si;Si;No;Si
310;0.794751066;1090100460095;Si;No;Si;Si;No;Si;Si;No;Si
324;0.794751066;1090100504068;Si;No;Si;Si;No;Si;Si;No;Si
323;0.794751066;1090100503681;Si;No;Si;Si;No;Si;Si;No;Si
